时间(s),x1_aligned,y1_aligned,x2_aligned_corrected,y2_aligned_corrected,X坐标(m),Y坐标(m),x_smooth,y_smooth,vx,vy,speed,ax,ay,acceleration
469.05,50.082729823131885,-4.497698558299306,52.293266483968125,-1.1174158464784965,51.187998153550005,-2.8075572023889013,50.53208844455463,-1.6833005406166768,-0.6895232334204446,2.678745929087788,2.7660661673269824,-0.6935827500360547,-0.861555468051129,1.1060446897283926
469.15,49.53177601041253,-3.7534748361039125,51.73305586864581,-0.655029593870101,50.63241593952917,-2.2042522149870067,50.46313612121257,-1.415425947707837,-0.7588815084240659,2.5925903822826557,2.7013748414710075,-1.0324991036178865,-1.2808282517196252,1.6451672891760554
469.25,49.3423328441736,-3.127997208357071,51.23222494644335,-0.13862944597570143,50.287278895308475,-1.6333133271663862,50.38031214286978,-1.1647824641600277,-0.8960230541440689,2.422580278743805,2.582973581072032,-1.3556654143269724,-1.6770911346739832,2.1564933084997944
469.35,49.35030637969456,-2.5740779855787674,51.01231650632496,0.20891835157912123,50.18131144300976,-1.1825798169998232,50.28393151038372,-0.9309098919589659,-1.030014591289522,2.257172155347783,2.4810796434509466,-1.3241653285811255,-1.631071333245706,2.100906354779357
469.45,49.39160267225519,-2.0445294782903662,51.06613799783123,0.2462098378592827,50.22887033504321,-0.8991598202155417,50.17430922461183,-0.7133480330903685,-1.1608561198603542,2.0963660120945895,2.3963174638771485,-1.2926652428349241,-1.585051531817429,2.045329261647193
469.55,49.30212777713518,-1.492163997011963,51.21390112330917,0.024768595227607326,50.25801445022218,-0.7336977008921778,50.05176028641159,-0.5116366895399527,-1.2885476398565656,1.940161848984225,2.3290734252989562,-1.2611651570890767,-1.5390317303891474,1.9897628553674753
469.65,48.97698167514998,-0.89683669174713,51.05860984143014,-0.13543350793192277,50.01779575829006,-0.5161350998395264,49.91659969664046,-0.3253156632934353,-1.4130891512782269,1.78855966601669,2.2794224330654362,-1.2296650713435844,-1.4930119289608836,1.934208056984026
469.75,48.54804004925875,-0.3465740704297864,50.60641935988752,-0.07826451111556543,49.577229704573135,-0.2124192907726759,49.76914245615588,-0.15392475633653335,-1.5344806541253384,1.6415594631919803,2.24707551032004,-1.1981649855975602,-1.446992127532612,1.8786658962820817
469.85,48.19844435464212,0.050310444722611175,50.466030229429556,0.08329258449237784,49.33223729203584,0.0668015146074945,49.60970356581532,0.002996229345035406,-1.6527221483977934,1.4991612405101018,2.2313616750433813,-1.166664899851535,-1.4009723261043172,1.8231375282890026
469.95,47.92898852026885,0.34088971104763627,50.75219942249613,0.257202041791105,49.34059397138249,0.29904587641937064,49.43859802647625,0.14590749176555518,-1.7678136340956985,1.3613649979710531,2.231250703662716,-1.1351648141058652,-1.3549525246760514,1.7676242528631498
470.05,47.558118948894254,0.7276228654398231,50.80127722523667,0.41361904145809614,49.17969808706546,0.5706209534489597,49.2561408389961,0.27526922893930794,-1.879755111219018,1.22817073557483,2.2454136888057934,-1.103664728359841,-1.3089327232477732,1.7121275380690637
470.15,46.982662566632015,1.336227346870906,50.479350884476034,0.5600626279374877,48.731006725554025,0.948144987404197,49.06264700423236,0.391541638880577,-1.9885465797677169,1.099578453321439,2.2723094584397288,-1.072164642613817,-1.262912921819495,1.6566490482204936
470.25,46.44468100628246,1.958430101830541,50.50264399982233,0.7497081685583968,48.473662503052395,1.354069135194469,48.85843152304247,0.49518491960364575,-2.09418803974183,0.9755881512108735,2.310280456260837,-1.0406645568681459,-1.2168931203912228,1.6011906777073932
470.35,46.25737267687358,2.3137222405825266,51.02543263761246,0.9531595755509303,48.64140265724302,1.6334409080667285,48.6438093962839,0.5866592691227961,-2.1966794911413934,0.8561998292431391,2.3576426646964954,-1.009164471122476,-1.1708733189629286,1.5457545920472533
470.45,46.3849822772476,2.3806159719395388,51.29385247543489,1.0170193039352724,48.839417376341245,1.6988176379374056,48.41909562481409,0.6664248854523125,-2.2960209339663713,0.7414134874182345,2.4127590199888336,-0.9776643853762754,-1.1248535175346626,1.4903432780213
470.55,46.44280079605996,2.3966446032646864,50.97122869085779,0.8657506568512597,48.70701474345888,1.6311976300579731,48.18460520949052,0.7349419666064767,-2.392212368216693,0.6312291257361554,2.4740917977768224,-0.9461642996302524,-1.0788337161063961,1.4349596053209102
470.65,46.17086243821029,2.5394861771510895,50.43046503122001,0.5538703541366797,48.30066373471515,1.5466782656438847,47.94065315117064,0.7926707105995723,-2.485253793892465,0.5256467441969063,2.540234422202348,-0.9146642138847602,-1.0328139146781066,1.3796069028944953
470.75,45.86886187534811,2.7023505295382333,49.91453432057829,0.2573028184844508,47.8916980979632,1.479826674011342,47.687554450711914,0.8400713154458819,-2.5751452109936865,0.42466634280048715,2.609926121638553,-0.883164128139088,-0.98679411324984,1.324289054238618
470.85,45.953707302945006,2.713022508748269,49.39571986867473,0.30718710196562976,47.67471358580987,1.5101048053569492,47.42562410897179,0.877603979159689,-2.6618866195203226,0.3282879215468934,2.6820539395424,-0.8516640423928852,-0.9407743118215737,1.2690106173268787
470.95,46.32017028058357,2.530204436155271,48.85494411640788,0.6938669313199757,47.58755719849572,1.6120356837376233,47.15517712680773,0.9057288997552755,-2.7454780194723023,0.23651148043612963,2.755646427933679,-0.8201639566468621,-0.8947545103932846,1.2137769768996949
471.05,46.34088573195754,2.243516106185178,48.31639350045622,0.8991631746997951,47.328639616206885,1.5713396404424866,46.876528505077204,0.9249062752469257,-2.8259194108497323,0.1493370194681958,2.82986255178603,-0.7886638709011945,-0.848734708965018,1.1585945397190467
471.15,45.597699230291255,1.9431754440343145,47.781424711859174,0.6979434144925667,46.689561971075214,1.3205594292634406,46.589993244637654,0.9355963036489214,-2.903210793652577,0.06676453864308743,2.90397837733015,-0.7571637851551692,-0.8027149075367181,1.103470987535325
471.25,44.60010531839473,1.6990246417963732,47.214396869788,0.34951876086408973,45.907251094091365,1.0242717013302314,46.295886346346556,0.9382591829755462,-2.9773521678808006,-0.011205962039184341,2.97737325593714,-0.7256636994093195,-0.7566951061084404,1.0484156085488632
