时间(s),x1_aligned,y1_aligned,x2_aligned_corrected,y2_aligned_corrected,X坐标(m),Y坐标(m)
270.4,-0.9322483921389513,3.268604558573098,-0.9322484288710585,3.2686044933236227,-0.9322484105050048,3.2686045259483603
270.5,-0.9347739739154763,3.2641071463192906,-0.9347740105300374,3.2641070810000614,-0.9347739922227569,3.264107113659676
270.6,-0.9372906945073026,3.2596044258794703,-0.937290730982145,3.25960436047585,-0.9372907127447239,3.25960439317766
270.7,-0.9397985427949471,3.2550964147175083,-0.9397985791334834,3.2550963492321894,-0.9397985609642152,3.255096381974849
270.8,-0.9422975076750213,3.25058313030823,-0.9422975438901516,3.2505830647502827,-0.9422975257825865,3.2505830975292564
270.9,-0.9447875780854155,3.246064590154229,-0.9447876141728213,3.2460645245211195,-0.9447875961291183,3.2460645573376743
271.0,-0.9472687430052901,3.24154081178589,-0.947268778960412,3.2415407460749,-0.947268760982851,3.2415407789303954
271.1,-0.9497409914300067,3.2370118127443983,-0.9497410272571114,3.237011746958737,-0.949741009343559,3.2370117798515676
271.2,-0.9522043124125572,3.2324776106092954,-0.952204348109917,3.2324775447482,-0.9522043302612371,3.2324775776787478
271.3,-0.9546586950221426,3.227938222970918,-0.9546587305883036,3.227938157033762,-0.9546587128052231,3.22793819000234
271.4,-0.9571041283695304,3.223393667446963,-0.9571041638088656,3.223393601436993,-0.957104146089198,3.223393634441978
271.5,-0.9595406016070464,3.2188439616825066,-0.9595406369114968,3.218843895594799,-0.9595406192592716,3.2188439286386528
271.6,-0.9619681039033298,3.2142891233332667,-0.961968139082213,3.21428905717425,-0.9619681214927713,3.214289090253758
271.7,-0.9643866244850492,3.209729170092751,-0.9643866595301962,3.209729103857504,-0.9643866420076227,3.2097291369751275
271.8,-0.9667961525951945,3.2051641196651017,-0.9667961875111736,3.2051640533569126,-0.966796170053184,3.205164086511007
271.9,-0.9691966775186063,3.200593989781413,-0.9691967123041653,3.200593923399848,-0.9691966949113857,3.2005939565906303
272.0,-0.9715881885819682,3.1960187981997494,-0.971588223234773,3.19601873174366,-0.9715882059083706,3.1960187649717047
272.1,-0.9739706751283874,3.1914385626886514,-0.9739707096519347,3.191438496160625,-0.973970692390161,3.191438529424638
272.2,-0.9763441265593941,3.1868533010538775,-0.976344160951329,3.18685323445279,-0.9763441437553615,3.1868532677533334
272.3,-0.9787085322929501,3.182263031111654,-0.9787085665520313,3.182262964437052,-0.9787085494224907,3.182262997774353
272.4,-0.9810638817891483,3.177667770704748,-0.9810639159199797,3.177667703959903,-0.9810638988545639,3.1776677373323254
272.5,-0.9834101645502059,3.1730675377024853,-0.9834101985445647,3.1730674708825983,-0.9834101815473852,3.1730675042925416
272.6,-0.9857473700948723,3.168462349984509,-0.985747403962164,3.16846228309579,-0.9857473870285182,3.1684623165401495
272.7,-0.9880754880007068,3.1638522254670973,-0.9880755217326774,3.1638521585047874,-0.988075504866692,3.163852191985942
272.8,-0.9903945078618086,3.1592371820768363,-0.9903945414631068,3.159237115044143,-0.9903945246624577,3.1592371485604898
272.9,-0.9927044193146852,3.154617237766436,-0.9927044527840443,3.1546171706629567,-0.9927044360493648,3.1546172042146963
273.0,-0.9950052120382441,3.1499924105147468,-0.995005245373304,3.14999234333938,-0.995005228705774,3.1499923769270635
273.1,-0.9972968757280335,3.145362718310772,-0.9972969089323467,3.145362651066031,-0.9972968923301901,3.1453626846884015
273.2,-0.9995794001387937,3.140728179179572,-0.999579433209982,3.14072811186438,-0.9995794166743879,3.140728145521976
273.3,-1.0018527750419126,3.136088811156351,-1.0018528079787221,3.1360887437702845,-1.0018527915103173,3.1360887774633177
273.4,-1.0041169902514577,3.131444632302018,-1.004117023058559,3.1314445648482523,-1.0041170066550085,3.1314445985751354
273.5,-1.006372035624168,3.126795660703202,-1.006372068293242,3.1267955931770963,-1.0063720519587052,3.126795626940149
273.6,-1.0086179010335286,3.12214191445652,-1.00861793357411,3.1221418468641,-1.0086179173038192,3.12214188066031
273.7,-1.010854576412593,3.1174834116940606,-1.0108546088163275,3.1174833440307386,-1.0108545926144603,3.1174833778623996
273.8,-1.0130820517111683,3.112820170557893,-1.013082083982769,3.1128201028267823,-1.0130820678469687,3.1128201366923376
273.9,-1.015300316922009,3.1081522092153646,-1.0153003490602004,3.1081521414160864,-1.0153003329911048,3.1081521753157255
274.0,-1.0175093620808109,3.103479545859123,-1.01750939408321,3.10347947799062,-1.0175093780820106,3.1034795119248715
274.1,-1.0197091772401183,3.0988021986916374,-1.0197092091103308,3.0988021307563542,-1.0197091931752245,3.098802164723996
274.2,-1.0218997525124147,3.094120185950261,-1.02189978424804,3.09412011794717,-1.0218997683802273,3.0941201519487156
274.3,-1.024081078027041,3.089433525882164,-1.024081109626815,3.089433457810864,-1.024081093826928,3.0894334918465143
274.4,-1.0262531439565505,3.084742236759369,-1.0262531754252089,3.0847421686229426,-1.0262531596908797,3.0847422026911557
274.5,-1.0284159405167028,3.080046336878772,-1.0284159718458283,3.080046268672744,-1.0284159561812656,3.0800463027757576
274.6,-1.0305694579402085,3.075345844546924,-1.03056948913946,3.07534577627713,-1.0305694735398343,3.075345810412027
274.7,-1.0327136865200772,3.0706407781046643,-1.0327137175810075,3.070640709766682,-1.0327137020505424,3.070640743935673
274.8,-1.0348486165662787,3.0659311559024807,-1.034848647493669,3.0659310874993326,-1.034848632029974,3.0659311217009066
274.9,-1.0369742384322558,3.0612169963152875,-1.036974269224825,3.0612169278466226,-1.0369742538285402,3.0612169620809553
275.0,-1.0390905425149186,3.0564983177424505,-1.03909057317026,3.05649824920726,-1.0390905578425893,3.0564982834748555
275.1,-1.0411975192282308,3.0517751385928205,-1.0411975497499952,3.051775069993476,-1.041197534489113,3.0517751042931485
275.2,-1.043295159046815,3.047047477308939,-1.04329518943258,3.04704740864446,-1.0432951742396974,3.0470474429767
275.3,-1.045383452462354,3.042315352342828,-1.045383482710852,3.0423152836128384,-1.045383467586603,3.0423153179778333
275.4,-1.047462390010257,3.0375787821705047,-1.047462420126289,3.0375787133779926,-1.047462405068273,3.0375787477742486
275.5,-1.0495319622696526,3.032837785292001,-1.049531992244708,3.032837716432658,-1.0495319772571803,3.0328377508623294
275.6,-1.0515921598368219,3.02809238021667,-1.05159218968068,3.02809231129614,-1.0515921747587509,3.028092345756405
275.7,-1.0536429733690618,3.023342585486956,-1.0536430030731805,3.0233425165009864,-1.0536429882211211,3.023342550993971
275.8,-1.05568439354083,3.018588419654615,-1.0556844231100488,3.018588350606133,-1.0556844083254395,3.018588385130374
275.9,-1.0577164110705606,3.013829901294966,-1.0577164405035895,3.0138298321836414,-1.057716425787075,3.0138298667393038
276.0,-1.0597390167206584,3.0090670490069087,-1.05973904601507,3.00906697983178,-1.0597390313678643,3.0090670144193443
